"The coupon code isn't valid. Verify the code and try again.","Mã giảm giá không hợp lệ. Xin vui lòng nhập lại."
"The coupon code ""%1"" is not valid.","Mã giảm giá ""%1"" không hợp lệ."
"Apply Discount Code","Mã giảm giá"
"Apply Discount","Áp dụng"
"You can create an account after checkout.","Bạn có thể tạo một tài khoản sau khi thanh toán."
"You already have an account with us. Sign in or continue as guest.","Bạn đã có một tài khoản với chúng tôi. Đăng nhập hoặc tiếp tục với tư cách khách."
"Forgot Your Password?","Quên mật khẩu?"
"Ship Here","Giao hàng tại đây"
"Shipping Address","Thông tin khách hàng"
"No payment method selected","Bạn chưa chọn phương thức thanh toán."
"Please enter your email address below to receive a password reset link.","Vui lòng nhập địa chỉ email của bạn dưới đây để nhận liên kết đặt lại mật khẩu."
"Please type the letters and numbers below","Vui lòng nhập mã bên dưới"
"Reload captcha","Tải lại"
"Reset My Password","Đặt lại mật khẩu"
"Are you sure you want to remove all items from your shopping cart?","Bạn có chắc chắn muốn xóa tất cả các mặt hàng khỏi giỏ hàng không?"
"Cancel","Hủy"
"OK","Xóa"
"Password","Mật khẩu"
"Show Password","Hiển thị mật khẩu"
"Customer Login","Đăng nhập"
"Login","Đăng nhập"
"If you have an account, sign in with your email address or mobile number.","Nếu bạn dã có tài khoản,bạn có thể đăng nhập với địa chỉ email hoặc số điện thoại"
"Remove item","Xóa sản phẩm"
"Continue Shopping","Tiếp tục mua hàng"
"Update Shopping Cart","Lưu chỉnh sửa"
"You have no items in your shopping cart.","Không có sản phẩm nào trong giỏ hàng"
"Shopping Cart","Giỏ hàng"
"Click <a href=""%1"">here</a> to continue shopping.","Click <a href=""%1"">Tiếp tục mua sắm</a> để tiếp tục mua hàng"
"Contact Information","Thông tin liên lạc"
"Change Password","Thay đổi mật khẩu"
"Address Book","Địa chỉ"
"Manage Addresses","Quản lí địa chỉ"
"You have not set a default billing address.","Bạn chưa chọn địa chỉ thanh toán mặc định"
"You have not set a default shipping address.","Bạn chưa chọn địa chỉ vận chuyển mặc định"
"Edit Address","Sửa địa chỉ"
"My Vouchers","Mã giảm giá của tôi"
"Edit Account Information","Chỉnh sửa thông tin tài khoản"
"Subscription option","Lựa chọn bản tin"
"General Subscription","Bản tin chung"
"You don't have any vouchers.","Bạn chưa có mã giảm giá nào"
"You are signed out","Bạn đã đăng xuất"
"General Subscription","Bản tin chung"
"You have signed out and will go to our homepage in 5 seconds.","Bạn đã đăng xuất và sẽ chuyển về trang chủ trong 5 giây"
"Please enter the same value again.","Vui lòng nhập lại cùng một giá trị"
"You have successfully logged in.","Bạn đã đăng nhập thành công"
"Price","Giá"
"Item","Sản phẩm"
"View and Edit Cart","Xem & sửa giỏ hàng"
"Read More","Xem thêm"
"Categories were not found","Không tìm thấy danh mục"
"Categories","Danh mục tin"
"Recent posts","Tin mới nhất"
"Day","Ngày"
"Month","Tháng"
"Year","Năm"
"Cancel coupon","Hủy mã"
"Clear Shopping Cart","Xoá giỏ hàng"
"Copy","Sao chép"
"Expiration: ","Áp dụng đến: "
"View detail","Chi tiết"
"Login with Your Social Profile","Đăng nhập bằng tài khoản xã hội của bạn"
"Continue with %1","%1"
"Search results for: '%1'","Kết quả tìm kiếm cho: '%1'"
"Please update or cancel Billing Address Form.","Vui lòng cập nhật hoặc hủy Biểu mẫu địa chỉ thanh toán."
"Store ID is not specified. Please, choose a store for pickup.","ID cửa hàng không được chỉ định. Vui lòng chọn một cửa hàng để nhận hàng."
"Please update or cancel Billing Address Form.","Vui lòng cập nhật hoặc hủy mẫu địa chỉ"
"New Address","Địa chỉ mới"
"Update Cart","CẬP NHẬT GIỎ HÀNG"
"Order Information","Thông tin đơn hàng"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Tài khoản hoặc mật khẩu không chính xác. Xin vui lòng nhập lại tài khoản và mật khẩu."
"Minimum of different classes of characters in password is 3. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","Các loại ký tự khác nhau tối thiểu trong mật khẩu là 3. Các loại ký tự: Chữ thường, Chữ hoa, Chữ số, Ký tự đặc biệt."
"Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.","Vui lòng nhập tối thiểu là 8 ký tự"
"Please enter a valid mobile number.","Vui lòng nhập lại số điện thoại."
"A customer with the same mobile number already exists in an associated website.","Số điện thoại đã tồn tại. Vui lòng nhập số điện thoại khác"
"Newsletters","Bản tin"
"You aren't subscribed to our newsletter.","Bạn chưa đăng ký nhận bản tin của chúng tôi."
"You are subscribed to "General Subscription".","Bạn đã đăng ký "Bản tin chung"."
"View Order","Xem đơn hàng"
"Go back","Quay lại"
"Set a New Password","Đặt lại mật khẩu"
"Confirm New Password","Xác nhận mật khẩu mới"
"Password Strength","Độ mạnh của mật khẩu"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"We'll email you an order confirmation with details and tracking info.","Chúng tôi sẽ gửi email xác nhận thông tin đơn hàng và theo dõi chi tiết đơn hàng tới bạn."
"Order","Đơn hàng"
"The order was not successful!","Đơn hàng không thành công!"
"Attach File","Tập tin đính kèm"
"New notification received","Thông báo mới nhận"
"Out of stock","Hết hàng"
"Verify OTP Login","Xác nhận mã OTP đăng nhập"
"Send OTP","Gửi OPT"
